baseline_rank,canonical_reported_name,province_reported,city_reported,trial_count_within_name_group,trial_example_url,name_verification_status,location_verification_status,official_hospital_id,official_name,filing_number,approved_name_evidence_json,unapproved_reference_leads_json,next_action,check_method
21,Peking University People's Hospital,,Beijing,297,https://clinicaltrials.gov/study/NCT00312845,verified_name_relation,passes_available_location_filters,cnha-cfdi-d5d39237c0a80333089149662db7a5be,北京大学人民医院（北京大学第二临床医学院）,药临床机构备字2020000497,"[{""hospital_id"": ""cnha-cfdi-d5d39237c0a80333089149662db7a5be"", ""official_name"": ""北京大学人民医院（北京大学第二临床医学院）"", ""filing_number"": ""药临床机构备字2020000497"", ""alias"": ""Peking University People's Hospital"", ""normalized_alias"": ""pekinguniversitypeopleshospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://english.pkuph.cn/events_detail/581.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
22,Chinese PLA General Hospital,Beijing Municipality,Beijing,295,https://clinicaltrials.gov/study/NCT00885872,unverified_no_approved_evidence,not_evaluated_without_approved_identity,,,,[],[],Obtain hospital or regulator evidence connecting the reported name to a filing; reference labels alone are insufficient,deterministic reconciliation of source-reviewed assertions; not a new manual source review
23,Peking University Third Hospital,,Beijing,290,https://clinicaltrials.gov/study/NCT00722137,verified_name_relation,passes_available_location_filters,cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999,北京大学第三医院,药临床机构备字2020000091,"[{""hospital_id"": ""cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999"", ""official_name"": ""北京大学第三医院"", ""filing_number"": ""药临床机构备字2020000091"", ""alias"": ""Peking University Third Hospital"", ""normalized_alias"": ""pekinguniversitythirdhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.puh3.net.cn/english/"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
24,Xiangya Hospital Central South University,Hu'nan,Changsha,278,https://clinicaltrials.gov/study/NCT00548223,verified_name_relation,passes_available_location_filters,cnha-cfdi-3bb0a3b4c0a803332a9f6fc83950b0b0,中南大学湘雅医院,药临床机构备字2020000125,"[{""hospital_id"": ""cnha-cfdi-3bb0a3b4c0a803332a9f6fc83950b0b0"", ""official_name"": ""中南大学湘雅医院"", ""filing_number"": ""药临床机构备字2020000125"", ""alias"": ""Xiangya Hospital Central South University"", ""normalized_alias"": ""xiangyahospitalcentralsouthuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://xysm.csu.edu.cn/EN/Hospitals.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
25,"Sun Yat-sen Memorial Hospital, Sun Yat-sen University",Guangdong,Gu'ang'zhou,268,https://clinicaltrials.gov/study/NCT00829660,verified_name_relation,passes_available_location_filters,cnha-cfdi-cf7fafe0c0a803337c221769696693dc,中山大学孙逸仙纪念医院,药临床机构备字2020000516,"[{""hospital_id"": ""cnha-cfdi-cf7fafe0c0a803337c221769696693dc"", ""official_name"": ""中山大学孙逸仙纪念医院"", ""filing_number"": ""药临床机构备字2020000516"", ""alias"": ""Sun Yat-sen Memorial Hospital, Sun Yat-sen University"", ""normalized_alias"": ""sunyatsenmemorialhospitalsunyatsenuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.gov.uk/government/publications/list-of-hospitals-in-china/list-of-medical-facilities-in-china"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
26,"Ruijin Hospital, Shanghai Jiaotong University School of Medicine",Shanghai Municipality,Shanghai,262,https://clinicaltrials.gov/study/NCT01328730,verified_name_relation,passes_available_location_filters,cnha-cfdi-49af8e67c0a803336507a7bb3f8db7bc,上海交通大学医学院附属瑞金医院,药临床机构备字2020000252,"[{""hospital_id"": ""cnha-cfdi-49af8e67c0a803336507a7bb3f8db7bc"", ""official_name"": ""上海交通大学医学院附属瑞金医院"", ""filing_number"": ""药临床机构备字2020000252"", ""alias"": ""Ruijin Hospital, Shanghai Jiao Tong University School of Medicine"", ""normalized_alias"": ""ruijinhospitalshanghaijiaotonguniversityschoolofmedicine"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.shsmu.edu.cn/qnxzforum/info/1108/1217.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
27,The First Hospital of China Medical University,Liaoning,Shenyang,255,https://clinicaltrials.gov/study/NCT00796692,verified_name_relation,passes_available_location_filters,cnha-cfdi-066b931bc0a8033351202887a2fd71fa,中国医科大学附属第一医院,药临床机构备字2020000106,"[{""hospital_id"": ""cnha-cfdi-066b931bc0a8033351202887a2fd71fa"", ""official_name"": ""中国医科大学附属第一医院"", ""filing_number"": ""药临床机构备字2020000106"", ""alias"": ""The First Hospital of China Medical University"", ""normalized_alias"": ""thefirsthospitalofchinamedicaluniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://yizhe.dmu.edu.cn/article/doi/10.12014/j.issn.1002-0772.2016.06a.17"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
28,Tianjin Medical University Cancer Institute and Hospital,Tianjin Municipality,Tianjin,255,https://clinicaltrials.gov/study/NCT01219192,verified_name_relation,passes_available_location_filters,cnha-cfdi-f38bbd78c0a80333056a73b8390ed2c2,天津市肿瘤医院（天津医科大学肿瘤医院）,药临床机构备字2020000803,"[{""hospital_id"": ""cnha-cfdi-f38bbd78c0a80333056a73b8390ed2c2"", ""official_name"": ""天津市肿瘤医院（天津医科大学肿瘤医院）"", ""filing_number"": ""药临床机构备字2020000803"", ""alias"": ""Tianjin Medical University Cancer Institute and Hospital"", ""normalized_alias"": ""tianjinmedicaluniversitycancerinstituteandhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://gs.tmu.edu.cn/_upload/article/files/25/92/b1ddeac8440d816796748f7f9544/6b270462-3758-4b0a-85f4-f306c880f31e.pdf"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
29,The Affiliated Hospital of Qingdao University,Shandong,Qingdao,247,https://clinicaltrials.gov/study/NCT01176916,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-0d6cdcd5c0a803336f896af4c3b2de50"", ""official_name"": ""青岛大学附属医院"", ""filing_number"": ""药临床机构备字2020000017"", ""alias"": ""The Affiliated Hospital of QingDao University"", ""normalized_alias"": ""theaffiliatedhospitalofqingdaouniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://kjc.qdu.edu.cn/info/1023/2165.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
30,Shanghai Chest Hospital,Shanghai Municipality,Shanghai,244,https://clinicaltrials.gov/study/NCT00708812,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-91280931c0a803334e27d70392030c01"", ""official_name"": ""上海市胸科医院"", ""filing_number"": ""药临床机构备字2020000080"", ""alias"": ""Shanghai Chest Hospital"", ""normalized_alias"": ""shanghaichesthospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.shsmu.edu.cn/english/info/1085/1225.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
31,The First Affiliated Hospital of Xiamen University,Fujian,Xiamen,244,https://clinicaltrials.gov/study/NCT01714908,verified_name_relation,passes_available_location_filters,cnha-cfdi-f54478f4c0a803337f778cd3b4849179,厦门大学附属第一医院,药临床机构备字2019000097,"[{""hospital_id"": ""cnha-cfdi-f54478f4c0a803337f778cd3b4849179"", ""official_name"": ""厦门大学附属第一医院"", ""filing_number"": ""药临床机构备字2019000097"", ""alias"": ""The First Affiliated Hospital of Xiamen University"", ""normalized_alias"": ""thefirstaffiliatedhospitalofxiamenuniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.gov.uk/government/publications/list-of-hospitals-in-china/list-of-medical-facilities-in-china"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
