canonical_reported_name,province_reported,city_reported,trial_count,active_trial_count,name_variants,resolution_status,candidate_count,first_trial_id,source_url,review_reason,candidates_json
The First Affiliated Hospital of Guangzhou Medical College,Guangdong,Guangzhou,18,11,The First Affiliated Hospital of Guangzhou Medical College | the First Affiliated Hospital of Guangzhou Medical College | The first affiliated hospital of Guangzhou medical college | The first affiliated hospital of guangzhou medical college,unmatched,0,NCT00548223,https://clinicaltrials.gov/study/NCT00548223,,[]
The First Affiliated Hospital of Hebei North University,Hebei,Zhangjiakou,18,5,The First Affiliated Hospital of Hebei North University | The First affiliated Hospital of Hebei North University | The first affiliated hospital of hebei north university,unmatched,0,NCT03015311,https://clinicaltrials.gov/study/NCT03015311,,[]
The First Affiliated Hospital of Henan University of Science &Technology,,Luoyang,18,10,"The First Affiliated Hospital of Henan University of Science &Technology | The First Affiliated Hospital of Henan University of Science & Technology | The First Affiliated Hospital of Henan University of Science & Technology,",unmatched,0,NCT03500380,https://clinicaltrials.gov/study/NCT03500380,,[]
The First Affiliated Hospital of Henan University of Science &Technology,,Luoyang Shi,18,8,The First Affiliated Hospital of Henan University of Science &Technology,unmatched,0,NCT05556512,https://clinicaltrials.gov/study/NCT05556512,,[]
The People's Hospital of Guangxi Zhuang Autonomous Region,,Nanning,18,9,The People's Hospital of Guangxi Zhuang Autonomous Region | The People's Hospital Of Guangxi Zhuang Autonomous Region | The People'S Hospital of Guangxi Zhuang Autonomous Region | The people's hospital of Guangxi Zhuang Autonomous Region,unmatched,0,NCT02132143,https://clinicaltrials.gov/study/NCT02132143,,[]
The Second Affiliated Hospital of Dalian Medical University,,Dalian,18,7,The Second Affiliated Hospital of Dalian Medical University | The second Affiliated Hospital of Dalian Medical University,unmatched,0,NCT00805194,https://clinicaltrials.gov/study/NCT00805194,,[]
The Second Affiliated Hospital of Guangxi Medical University,Guangxi,Nanning,18,13,The Second Affiliated Hospital of Guangxi Medical University | The second affiliated hospital of guangxi medical university | the Second Affiliated Hospital of Guangxi Medical University,unmatched,0,NCT04830644,https://clinicaltrials.gov/study/NCT04830644,,[]
The Second Affiliated Hospital of Guilin Medical University,Guangxi,Guilin,18,5,The Second Affiliated Hospital of Guilin Medical University,unmatched,0,NCT04152499,https://clinicaltrials.gov/study/NCT04152499,,[]
The Second Affiliated Hospital to Nanchang University,,Nanchang,18,8,The Second Affiliated Hospital to Nanchang University,unmatched,0,NCT01287741,https://clinicaltrials.gov/study/NCT01287741,,[]
"The Second Xiangya Hospital, Central South University",Hunan,Changsha,18,6,"The Second Xiangya Hospital, Central South University | The second Xiangya Hospital,Central South University | the Second Xiangya Hospital，Central South University",unmatched,0,NCT01040780,https://clinicaltrials.gov/study/NCT01040780,,[]
Tianjin Chest Hospital,,Tianjin,18,9,"Tianjin Chest Hospital | Tianjin Chest Hospital, | Tianjin Chest hospital",unmatched,0,NCT03169335,https://clinicaltrials.gov/study/NCT03169335,,[]
"Tongji Hospital, Tongji Medical College of HUST",,Wuhan,18,6,"Tongji Hospital, Tongji Medical College of HUST | Tongji Hospital Tongji Medical College of HUST | Tongji Hospital - Tongji Medical College of HUST | Tongji Hospital, Tongji Medical College of Hust | Tongji Hospital, Tongji medical college of HUST | Tongji Hospital Tongji Medical College of Hust | Tongji Hospital,Tongji Medical College of HUST",unmatched,0,NCT03217812,https://clinicaltrials.gov/study/NCT03217812,,[]
Wuhan Union Hospital of China,Hubei,Wuhan,18,7,Wuhan Union Hospital of China | WuHan Union Hospital Of China,unmatched,0,NCT00786136,https://clinicaltrials.gov/study/NCT00786136,,[]
Xuanwu Hospital of Capital Medical University,Beijing Municipality,Beijing,18,4,Xuanwu Hospital of Capital Medical University | Xuan Wu Hospital of Capital Medical University | Xuanwu hospital of capital medical university,unmatched,0,NCT01978730,https://clinicaltrials.gov/study/NCT01978730,,[]
Zaozhuang Municipal Hospital,Shandong,Zaozhuang,18,6,Zaozhuang Municipal Hospital,unmatched,0,NCT02231125,https://clinicaltrials.gov/study/NCT02231125,,[]
Zhuhai People's Hospital,Guangdong,Zhuhai,18,9,Zhuhai People's Hospital | Zhuhai People'S Hospital | Zhuhai people's Hospital | Zhuhai people's hospital,unmatched,0,NCT02867267,https://clinicaltrials.gov/study/NCT02867267,,[]
Affiliated Cancer Hospital of Shandong First Medical University,Shandong,Jinan,17,14,Affiliated Cancer Hospital of Shandong First Medical University | Affiliated Cancer Hospital of Shandong First Medical university,unmatched,0,NCT04685226,https://clinicaltrials.gov/study/NCT04685226,,[]
Affiliated Hospital of Qinghai University,Qinghai,Xining,17,7,Affiliated Hospital of Qinghai University,unmatched,0,NCT02660411,https://clinicaltrials.gov/study/NCT02660411,,[]
Anyang People's Hospital,Henan,Anyang,17,8,Anyang People's Hospital,unmatched,0,NCT04078737,https://clinicaltrials.gov/study/NCT04078737,,[]
Beijing Chest Hospital,,Beijing,17,3,Beijing Chest Hospital,unmatched,0,NCT00685360,https://clinicaltrials.gov/study/NCT00685360,,[]
Beijing GoBroad Hospital,,Beijing,17,14,Beijing GoBroad Hospital | Beijing Gobroad Hospital,unmatched,0,NCT05718895,https://clinicaltrials.gov/study/NCT05718895,,[]
"Beijing Tiantan Hospital, Beijing, Beijing 100070",,Beijing,17,17,"Beijing Tiantan Hospital, Beijing, Beijing 100070",unmatched,0,NCT07157852,https://clinicaltrials.gov/study/NCT07157852,,[]
Cancer Hospital of Guizhou Medical University,Guizhou,Guiyang,17,10,Cancer Hospital of Guizhou Medical University | Cancer Hospital Of Guizhou Medical University,unmatched,0,NCT02937519,https://clinicaltrials.gov/study/NCT02937519,,[]
"Cancer Institute & Hospital, Chinese Academy of Medical Sciences",Beijing Municipality,Beijing,17,7,"Cancer Institute & Hospital, Chinese Academy of Medical Sciences | Cancer institute & hospital, chinese academy of medical sciences | Cancer Institute & Hospital.Chinese Academy of Medical Sciences | Cancer Institute & Hospital. Chinese Academy of Medical Sciences | Cancer Institute & Hospital Chinese Academy of Medical Sciences | Cancer Institute &Hospital, Chinese Academy of Medical Sciences | Cancer Institute& Hospital, Chinese Academy of Medical Sciences | Cancer institute &Hospital，Chinese Academy of Medical Sciences",unmatched,0,NCT00985998,https://clinicaltrials.gov/study/NCT00985998,,[]
Changzheng Hospital,Shanghai Municipality,Shanghai,17,7,Changzheng Hospital | Changzheng hospital | ChangZheng Hospital | Chang Zheng Hospital,unmatched,0,NCT00749463,https://clinicaltrials.gov/study/NCT00749463,,[]
Chinese People's Liberation Army General Hospital,Beijing Municipality,Beijing,17,6,Chinese People's Liberation Army General Hospital,unmatched,0,NCT00445458,https://clinicaltrials.gov/study/NCT00445458,,[]
Chongqing Traditional Chinese Medicine Hospital,Chongqing Municipality,Chongqing,17,7,Chongqing Traditional Chinese Medicine Hospital | Chongqing Traditional Chinese medicine Hospital,unmatched,0,NCT02306421,https://clinicaltrials.gov/study/NCT02306421,,[]
"Department of Medical Oncology, Sun Yat-sen University Cancer Center,",Guangdong,Guangzhou,17,13,"Department of Medical Oncology, Sun Yat-sen University Cancer Center, | Department of Medical Oncology, Sun Yat-Sen University Cancer Center | Department of Medical Oncology, Sun Yat-sen University Cancer Center | Department of Medical Oncology,Sun Yat-Sen University Cancer Center | Department of Medical Oncology,Sun Yat-sen University Cancer Center",unmatched,0,NCT01921790,https://clinicaltrials.gov/study/NCT01921790,,[]
District One Hospital,Beijing Municipality,Beijing,17,17,District One Hospital,unmatched,0,NCT06213636,https://clinicaltrials.gov/study/NCT06213636,,[]
Eastern Hepatobiliary Surgery Hospital,,Shanghai,17,11,Eastern Hepatobiliary Surgery Hospital,unmatched,0,NCT00834158,https://clinicaltrials.gov/study/NCT00834158,,[]
Fuzhou General Hospital,Fujian,Fuzhou,17,3,Fuzhou General Hospital | Fuzhou general hospital,unmatched,0,NCT00646724,https://clinicaltrials.gov/study/NCT00646724,,[]
"Gastrointestinal Hospital, Sun Yat-sen University",Guangdong,Guangzhou,17,11,"Gastrointestinal Hospital, Sun Yat-sen University | Gastrointestinal Hospital, Sun Yatsen University",unmatched,0,NCT01211210,https://clinicaltrials.gov/study/NCT01211210,,[]
Guizhou Provincial People's Hospital,,Guiyang,17,8,Guizhou Provincial People's Hospital | GuiZhou Provincial People's Hospital,unmatched,0,NCT02568722,https://clinicaltrials.gov/study/NCT02568722,,[]
Huashan Hospital of Fudan University,Shanghai Municipality,Shanghai,17,8,Huashan Hospital of Fudan University | Huashan hospital of fudan university,unmatched,0,NCT02652806,https://clinicaltrials.gov/study/NCT02652806,,[]
Linfen People's Hospital,Shanxi,Linfen,17,6,Linfen People's Hospital | LinFen People's Hospital | Linfen people's hospital | Linfen Peoples Hospital,unmatched,0,NCT04797013,https://clinicaltrials.gov/study/NCT04797013,,[]
Lishui People's Hospital,Zhejiang,Lishui,17,6,Lishui People's Hospital,unmatched,0,NCT02430350,https://clinicaltrials.gov/study/NCT02430350,,[]
Maoming People's Hospital,Guangdong,Maoming,17,6,Maoming People's Hospital | Maoming people's hospital | Mao ming people's hospital | MaoMing People's Hospital,unmatched,0,NCT02441556,https://clinicaltrials.gov/study/NCT02441556,,[]
Nanjing Children's Hospital,Jiangsu,Nanjing,17,7,Nanjing Children's Hospital | Nanjing childrens Hospital,unmatched,0,NCT02314273,https://clinicaltrials.gov/study/NCT02314273,,[]
Peking University Cancer Hospital & Institute,,Beijing,17,11,Peking University Cancer Hospital & Institute,unmatched,0,NCT03575637,https://clinicaltrials.gov/study/NCT03575637,,[]
Second Affiliated Hospital of Zhejiang University School of Medicine,,Hangzhou,17,8,"Second Affiliated Hospital of Zhejiang University School of Medicine | Second Affiliated Hospital of Zhejiang University, School of Medicine",unmatched,0,NCT04213196,https://clinicaltrials.gov/study/NCT04213196,,[]
Shanghai Dermatology Hospital,Shanghai Municipality,Shanghai,17,5,Shanghai Dermatology Hospital,unmatched,0,NCT03942185,https://clinicaltrials.gov/study/NCT03942185,,[]
