hospital_id,official_name,filing_number,alias,normalized_alias,kind,evidence_status,source_url,accessed_at,valid_from,valid_to
cnha-cfdi-b06e8b61c0a803331cb77cc82775fbd5,中国医学科学院整形外科医院,药临床机构备字2020000179,中国医学科学院整形外科医院,中国医学科学院整形外科医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,,
cnha-cfdi-b094882fc0a8033316c773095439d475,郑州市第一人民医院,药临床机构备字2020000261,郑州市第一人民医院,郑州市第一人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,,
cnha-cfdi-b094fd32c0a803330b6c73edfd444a15,阳江市人民医院,药临床机构备字2021000157,阳江市人民医院,阳江市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,,
cnha-cfdi-b09654d3c0a8033378817c2361df6111,湛江中心人民医院,药临床机构备字2020000066,湛江中心人民医院,湛江中心人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,,
cnha-cfdi-b0bda0d7c0a8033314caf01402b3649c,无锡市锡山人民医院,药临床机构备字2025000098,无锡市锡山人民医院,无锡市锡山人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,,
cnha-cfdi-b0ce6b67c0a803333f9c55f42fa13780,西安市北方医院,药临床机构备字2025000125,西安市北方医院,西安市北方医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,,
cnha-cfdi-b0e294e2c0a8033365254668ebd20dbc,珠海市人民医院,药临床机构备字2020000720,珠海市人民医院,珠海市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=8&pageSize=100,2026-09-05,,
cnha-cfdi-b0fffb27c0a80333651194dd9fa521b7,黑龙江中医药大学附属第一医院,药临床机构备字2019000051,黑龙江中医药大学附属第一医院,黑龙江中医药大学附属第一医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,2026-09-05,,
cnha-cfdi-b10c920cc0a803330726cd6e3ee28732,吉林市中心医院,药临床机构备字2020000459,吉林市中心医院,吉林市中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=6&pageSize=100,2026-09-05,,
cnha-cfdi-b11b3863c0a80333558611972b4c4671,贵阳市妇幼保健院,药临床机构备字2023000001,贵阳市妇幼保健院,贵阳市妇幼保健院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,,
cnha-cfdi-b12cea66c0a80333112df9095f3a2e9d,汝阳县人民医院,药临床机构备字2021000153,汝阳县人民医院,汝阳县人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,,
cnha-cfdi-b1350357c0a8033317c4af47a0ad3cce,右江民族医学院附属医院,药临床机构备字2022000124,右江民族医学院附属医院,右江民族医学院附属医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,,
cnha-cfdi-b1465049c0a803333bc1a92c34b9f82b,安徽省宿州市立医院,药临床机构备字2022000064,安徽省宿州市立医院,安徽省宿州市立医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=12&pageSize=100,2026-09-05,,
cnha-cfdi-b14ce737c0a803333bb15f6394516769,南通市中医院,药临床机构备字2026000004,南通市中医院,南通市中医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=19&pageSize=100,2026-09-05,,
cnha-cfdi-b16825dac0a803334af616ca148fa9df,上海市徐汇区中心医院,药临床机构备字2020000153,上海市徐汇区中心医院,上海市徐汇区中心医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,,
cnha-cfdi-b170e259c0a8033340cdbb0cab4d98d9,北京和睦家医院,药临床机构备字2020000918,北京和睦家医院,北京和睦家医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=10&pageSize=100,2026-09-05,,
cnha-cfdi-b17664b2c0a803333d0e9a546366dbe5,长沙珂信肿瘤医院,药临床机构备字2020000754,长沙珂信肿瘤医院,长沙珂信肿瘤医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=8&pageSize=100,2026-09-05,,
cnha-cfdi-b1a3122cc0a803336ed3b732a1969f61,潮州市人民医院(潮州医院),药临床机构备字2023000276,潮州市人民医院(潮州医院),潮州市人民医院潮州医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,,
cnha-cfdi-b1a3122cc0a803336ed3b732a1969f61,潮州市人民医院(潮州医院),药临床机构备字2023000276,潮州医院,潮州医院,parallel_name,official_source_reviewed,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,,
cnha-cfdi-b1a3122cc0a803336ed3b732a1969f61,潮州市人民医院(潮州医院),药临床机构备字2023000276,潮州市人民医院,潮州市人民医院,official_variant,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,,
cnha-cfdi-b1ac848dc0a8033376622c8b439fe5bb,前海人寿南宁医院,药临床机构备字2025000215,前海人寿南宁医院,前海人寿南宁医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=19&pageSize=100,2026-09-05,,
cnha-cfdi-b1b64d9bc0a80333614e542d08bdd76f,航空总医院,药临床机构备字2025000218,航空总医院,航空总医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=19&pageSize=100,2026-09-05,,
cnha-cfdi-b1b916e1c0a803337959d7fcacbd5db1,无锡市第二人民医院,药临床机构备字2020000219,无锡市第二人民医院,无锡市第二人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,,
