hospital_id,official_name,candidate_alias,source_url,status,reason
cnha-cfdi-317e5390c0a80333428017c95b8e60d5,北京市海淀医院、北京市海淀医院互联网医院,Beijing Haidian Hospital,https://ror.org/058x5eq06,review_required,Reference-only name; not approved for resolution
cnha-cfdi-317e5390c0a80333428017c95b8e60d5,北京市海淀医院、北京市海淀医院互联网医院,Beijing Haidian Section of Peking University Third Hospital,https://ror.org/058x5eq06,review_required,Reference-only name; not approved for resolution
cnha-cfdi-318dc62bc0a8033361606bba37a83140,南京市第一医院,NFH,https://ror.org/02hw73q19,review_required,Reference-only name; not approved for resolution
cnha-cfdi-318dc62bc0a8033361606bba37a83140,南京市第一医院,Nanjing First Hospital,https://ror.org/02hw73q19,review_required,Reference-only name; not approved for resolution
cnha-cfdi-31c31344c0a803337cc19b734c5cf1ef,江西省儿童医院,Jiangxi Provincial Children's Hospital,https://ror.org/03tws3217,review_required,Reference-only name; not approved for resolution
cnha-cfdi-31c61602c0a803336b55426e8e04a4da,中国医学科学院肿瘤医院,Cancer Hospital of Chinese Academy of Medical Sciences,https://ror.org/03x937183,review_required,Reference-only name; not approved for resolution
cnha-cfdi-31c61602c0a803336b55426e8e04a4da,中国医学科学院肿瘤医院,Ritan Hospital,https://ror.org/03x937183,review_required,Reference-only name; not approved for resolution
cnha-cfdi-31fcd44ec0a803331ea8b90d035215eb,北京市顺义区中医医院(北京中医医院顺义医院),Shunyi District Traditional Chinese Medicine Hospital,https://ror.org/01qq0qd43,review_required,Reference-only name; not approved for resolution
cnha-cfdi-31fcd44ec0a803331ea8b90d035215eb,北京市顺义区中医医院(北京中医医院顺义医院),Shunyi Hospital of Beijing Traditional Chinese Medicine Hospital,https://ror.org/01qq0qd43,review_required,Reference-only name; not approved for resolution
cnha-cfdi-32c1abc9c0a8033320455d77bfaba578,文昌市人民医院（文昌市人民医院医共体总院）,文昌市人民医院医共体总院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-32e6838dc0a803330fdfe5db1ba459d5,安阳市中医院,Anyang Hospital of Traditional Chinese Medicine,https://ror.org/02x5sw589,review_required,Reference-only name; not approved for resolution
cnha-cfdi-330a5a5dc0a8033377e4178e3d5a8695,重庆医科大学附属第二医院,Second Affiliated Hospital of Chongqing Medical University,https://ror.org/00r67fz39,review_required,Reference-only name; not approved for resolution
cnha-cfdi-331e7c69c0a80333533c39fcf2e67d09,潮州市中心医院,Chaozhou Central Hospital,https://ror.org/03rzkxc19,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3340923cc0a803335613d72a9247a1b9,吉林省肿瘤医院,Jilin Province Tumor Hospital,https://ror.org/00vgek070,review_required,Reference-only name; not approved for resolution
cnha-cfdi-350cb36ac0a803331b0d46566a10ed40,杭州市肿瘤医院,Hangzhou Cancer Hospital,https://ror.org/05psp9534,review_required,Reference-only name; not approved for resolution
cnha-cfdi-365a4244c0a803332a4f8494616895ea,太原市第三人民医院(太原市传染病医院、太原市肝病研究所),太原市肝病研究所,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=21&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3666f8ebc0a803330f21ccb373822eb1,河北省中医院,Hospital of Hebei Province,https://ror.org/0000yrh61,review_required,Reference-only name; not approved for resolution
cnha-cfdi-367d16a9c0a803334d358b8a60341c23,天津市中西医结合医院（天津市南开医院）,Tianjin Nankai Hospital,https://ror.org/00hq79z10,review_required,Reference-only name; not approved for resolution
cnha-cfdi-36994b74c0a80333783adf1e244d895b,商丘市第一人民医院,People's Hospital of Shangqiu District,https://ror.org/025gwsg11,review_required,Reference-only name; not approved for resolution
cnha-cfdi-36994b74c0a80333783adf1e244d895b,商丘市第一人民医院,Shangqiu First People's Hospital,https://ror.org/025gwsg11,review_required,Reference-only name; not approved for resolution
cnha-cfdi-36994b74c0a80333783adf1e244d895b,商丘市第一人民医院,St. Paul Hospital,https://ror.org/025gwsg11,review_required,Reference-only name; not approved for resolution
cnha-cfdi-370cbc66c0a80333260ea7d898e52ddf,河南省精神病医院,Henan Psychiatric Hospital,https://ror.org/015qzwq73,review_required,Reference-only name; not approved for resolution
cnha-cfdi-370cbc66c0a80333260ea7d898e52ddf,河南省精神病医院,Second Affiliated Hospital of Xinxiang Medical College,https://ror.org/015qzwq73,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999,北京大学第三医院,PKU 3rd People's Hospital,https://ror.org/04wwqze12,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999,北京大学第三医院,PUTH,https://ror.org/04wwqze12,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999,北京大学第三医院,Sanyuan Hospital,https://ror.org/04wwqze12,review_required,Reference-only name; not approved for resolution
cnha-cfdi-377cbc83c0a8033328258152d0df5c96,济南市中心医院,Jinan Central Hospital,https://ror.org/01fr19c68,review_required,Reference-only name; not approved for resolution
cnha-cfdi-377cbc83c0a8033328258152d0df5c96,济南市中心医院,Jinan Central Hospital Affiliated to Shandong University,https://ror.org/01fr19c68,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37b9443cc0a803331404f539fffb780c,惠州市中心人民医院,Huizhou Central People's Hospital,https://ror.org/04bwajd86,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37c8c3b0c0a803333b681c8ab939c8fc,上海市光华中西医结合医院,Guanghua Hospital,https://ror.org/027cgen28,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37c8c3b0c0a803333b681c8ab939c8fc,上海市光华中西医结合医院,Shanghai Guanghua Hospital of Integrated Traditional Chinese and Western Medicine,https://ror.org/027cgen28,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37db2829c0a80333029503d06ea961a0,广西壮族自治区脑科医院,Guangxi Brain Hospital,https://ror.org/02cgt3c05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37db2829c0a80333029503d06ea961a0,广西壮族自治区脑科医院,Guangxi Longquanshan Hospital,https://ror.org/02cgt3c05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-37db2829c0a80333029503d06ea961a0,广西壮族自治区脑科医院,Guangxi Zhuang Autonomous Region Brain Hospital,https://ror.org/02cgt3c05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-382ba8b0c0a803335b4ce03a0dba2371,南京医科大学第一附属医院（江苏省人民医院）,First Affiliated Hospital of Nanjing Medical University,https://ror.org/04py1g812,review_required,Reference-only name; not approved for resolution
cnha-cfdi-38923137c0a803331b14a852300fcb00,国药葛洲坝中心医院,Gezhouba Central Hospital of Sinopharm,https://ror.org/0027z3756,review_required,Reference-only name; not approved for resolution
cnha-cfdi-38923137c0a803331b14a852300fcb00,国药葛洲坝中心医院,Gezhouba Group Central Hospital,https://ror.org/0027z3756,review_required,Reference-only name; not approved for resolution
cnha-cfdi-38923137c0a803331b14a852300fcb00,国药葛洲坝中心医院,Sinopharm Gezhouba Central Hospital,https://ror.org/0027z3756,review_required,Reference-only name; not approved for resolution
cnha-cfdi-38d4d4c9c0a8033370f802154de28e76,滕州市中心人民医院,Tengzhou Central People's Hospital,https://ror.org/03b867n98,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3a2e5326c0a80333570115a701ae0590,云南省阜外心血管病医院,FYCH,https://ror.org/000r80389,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3a2e5326c0a80333570115a701ae0590,云南省阜外心血管病医院,Fuwai Yunnan Cardiovascular Hospital,https://ror.org/000r80389,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3a82f5aec0a80333558d48cdf85b8d1e,南京市儿童医院,Nanjing Children's Hospital,https://ror.org/000xvke80,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3bbb9b13c0a80333757b560b5ab9e182,广东药科大学附属第一医院,First Affiliated Hospital of Guangdong Pharmaceutical University,https://ror.org/02gr42472,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3bbb9b13c0a80333757b560b5ab9e182,广东药科大学附属第一医院,广东药学院第一附属医院,https://ror.org/02gr42472,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3bbe3ceec0a803331320f715d583ef2c,广州医科大学附属第一医院,First Affiliated Hospital of Guangzhou Medical University,https://ror.org/00z0j0d77,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3bdbeeaec0a803336bb4fc0b126bdd8e,江西省肿瘤医院（江西省第二人民医院）,Jiangxi Cancer Hospital,https://ror.org/00v8g0168,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3bdbeeaec0a803336bb4fc0b126bdd8e,江西省肿瘤医院（江西省第二人民医院）,Jiangxi Provincial Cancer Hospital,https://ror.org/00v8g0168,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3bdbeeaec0a803336bb4fc0b126bdd8e,江西省肿瘤医院（江西省第二人民医院）,Second People's Hospital of Jiangxi Province,https://ror.org/00v8g0168,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3c6ca040c0a803335fe74d0963ac8b40,重庆大学附属涪陵医院（重庆市涪陵中心医院）,Fuling Center Hospital of Chongqing,https://ror.org/03d4twy92,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3cc724a6c0a80333710dd56a968dec12,福建医科大学附属第二医院,Second Affiliated Hospital of Fujian Medical University,https://ror.org/03wnxd135,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3ce595d2c0a803333acc798da7cf0c71,中山大学附属第一医院,Affiliated Hospital of Guangdong Public Institution of Medicine,https://ror.org/037p24858,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3ce595d2c0a803333acc798da7cf0c71,中山大学附属第一医院,First Affiliated Hospital of Sun Yat-Sen University,https://ror.org/037p24858,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3ce595d2c0a803333acc798da7cf0c71,中山大学附属第一医院,"First Affiliated Hospital, Sun Yat-sen University",https://ror.org/037p24858,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3ce595d2c0a803333acc798da7cf0c71,中山大学附属第一医院,Sun Yat-sen University First Affiliated Hospital,https://ror.org/037p24858,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3ce595d2c0a803333acc798da7cf0c71,中山大学附属第一医院,Zhongshan Hospital,https://ror.org/037p24858,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3cf2b7afc0a803330527fa5f697d7524,深圳市妇幼保健院,"Shenzhen City, MCH",https://ror.org/01me2d674,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3cf2b7afc0a803330527fa5f697d7524,深圳市妇幼保健院,Shenzhen MCH,https://ror.org/01me2d674,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3cf2b7afc0a803330527fa5f697d7524,深圳市妇幼保健院,Shenzhen Maternal and Child Health Hospital,https://ror.org/01me2d674,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3cf2b7afc0a803330527fa5f697d7524,深圳市妇幼保健院,Shenzhen Maternity and Child Healthcare Hospital,https://ror.org/01me2d674,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3cf2b7afc0a803330527fa5f697d7524,深圳市妇幼保健院,Shenzhen Women and Children Hospital,https://ror.org/01me2d674,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3cf2b7afc0a803330527fa5f697d7524,深圳市妇幼保健院,Shenzhen Women's Children's Hospital,https://ror.org/01me2d674,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d0b67a2c0a8033370b2e48f7b5c9870,广州医科大学附属第二医院,Second Affiliated Hospital of Guangzhou Medical University,https://ror.org/00a98yf63,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d130379c0a8033343dcaa51cb377049,肇庆市第一人民医院,The First People's Hospital of Zhaoqing,https://ror.org/04gcfwh66,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d423aabc0a803335c9e1a5a0347cb9b,成都市第七人民医院,7th People's Hospital of Chengdu,https://ror.org/0475btk05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d423aabc0a803335c9e1a5a0347cb9b,成都市第七人民医院,Chengdu 7th People's Hospital,https://ror.org/0475btk05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d423aabc0a803335c9e1a5a0347cb9b,成都市第七人民医院,Chengdu Seventh People's Hospital,https://ror.org/0475btk05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d423aabc0a803335c9e1a5a0347cb9b,成都市第七人民医院,Seventh People's Hospital of Chengdu,https://ror.org/0475btk05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d6de689c0a803337c438dd59d88f376,云南省精神病医院(云南省精神卫生防治中心),云南省精神卫生防治中心,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d70b9bac0a803336b0fb5974b237caf,广州市第十二人民医院,Guangzhou No. 12 Hospital,https://ror.org/03hm7k454,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d70b9bac0a803336b0fb5974b237caf,广州市第十二人民医院,Guangzhou Occupational Disease Prevention Hospital,https://ror.org/03hm7k454,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d70b9bac0a803336b0fb5974b237caf,广州市第十二人民医院,Twelfth Guangzhou City People's Hospital,https://ror.org/03hm7k454,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d8eae89c0a803333f2f01a589e2b837,深圳市宝安区人民医院,Shenzhen Bao'an District People's Hospital,https://ror.org/04dkfar71,review_required,Reference-only name; not approved for resolution
cnha-cfdi-3d8eae89c0a803333f2f01a589e2b837,深圳市宝安区人民医院,Shenzhen Eighth People's Hospital,https://ror.org/04dkfar71,review_required,Reference-only name; not approved for resolution
cnha-cfdi-4140bdd4c0a8033369f660771215f2bd,汉中市中心医院,Hanzhong Central Hospital,https://ror.org/05mrmvf37,review_required,Reference-only name; not approved for resolution
cnha-cfdi-417dd7d5c0a803332053ddb03e929a9e,自贡市第一人民医院（自贡市传染病医院）,Zigong First People's Hospital,https://ror.org/04khs3e04,review_required,Reference-only name; not approved for resolution
cnha-cfdi-41b0f3eec0a80333797ab6fb32e74aba,济南市第三人民医院,Jinan Third People's Hospital,https://ror.org/019cb0c33,review_required,Reference-only name; not approved for resolution
cnha-cfdi-41bce0e2c0a8033315f29b2a61cee434,大连理工大学附属中心医院（大连市中心医院）,Dalian Municipal Central Hospital,https://ror.org/01n6v0a11,review_required,Reference-only name; not approved for resolution
